"データファイル名        : ","C:\Users\queez\Dropbox\Experiments\2019-Ito-kun\data\Qms\S1_200805_212915.qst"
"ロットＩＤ              : ",""
"センサータイプ          : ","BGM102              "
"センサー番号            : ",1
"レシピ番号              : ",0
"レシピ名称              : ","general1"
"測定モード              : ","トレンドモード"
"測定質量数              : ",2 ,3 ,4 ,14,15,16,17,18,19,20,28,32,40,44,--,--,--,--,--,--
"測定スピード            : ",50    ,"msec"
"移動平均回数            : ",1,"回"
"測定間隔                : ",700   ,"msec"
"保存間隔                : ",1,"回"
"導入バルブ状態          : ","全閉"
"終了バルブ状態          : ","状態維持"
"イオン化電圧            : ",50    ,"eV"
"レンジ値                : ","オートレンジ"
"データの種類            : ","イオン強度"
"分圧の参照値            : ","感度校正値"
"圧力単位                : ","[Pa]"
"ｱﾅﾛｸﾞCH.1のデータの種類 : ","圧力"
"ｱﾅﾛｸﾞCH.2のデータの種類 : ","圧力"
"選択 FIL                : ","FIL1"
"選択 SEM / FC           : ","SEM"
"SEM 電圧                : ",-1.000,"kV"
"変換条件 電流 ->分圧    : ","校正圧力値",1.00E-05,"設定イオン電流値",1.00E-07
"変換条件 ｱﾅﾛｸﾞ1->圧力   : ","換算係数値",8
圧力"変換条件 ｱﾅﾛｸﾞ1->温度   : ","最大温度",1000    ,"最小温度",0       
"変換条件 ｱﾅﾛｸﾞ2->圧力   : ","換算係数値",8
"変換条件 ｱﾅﾛｸﾞ2->温度   : ","最大温度",1000    ,"最小温度",0       
"測定開始日時            : ",2020/08/05 21:29:15
"測定終了日時            : ",2020/08/05 22:49:03
"エミッション電流        : ","なし"
"SEMインターロック       : ","監視状態","有効",2.00E-02
"Ar表示機能              : ","無効",0


"測定回数","経過時間"   ,"ｱﾅﾛｸﾞ1" ,"ｱﾅﾛｸﾞ2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
       1  ,000:00:00.000 ,1.00E-08 ,1.00E-08 ,3.76E-04 , 4.64E-10, 3.19E-12, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       2  ,000:00:00.640 ,1.00E-08 ,1.00E-08 ,3.76E-04 , 4.64E-10, 3.19E-12, 2.97E-12, 5.95E-11, 5.70E-11, 2.32E-10, 1.31E-09, 5.67E-09, 6.98E-11, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       3  ,000:00:01.343 ,1.00E-08 ,1.00E-08 ,3.71E-04 , 4.41E-10, 3.19E-12, 2.97E-12, 5.95E-11, 5.70E-11, 2.32E-10, 1.31E-09, 5.67E-09, 6.98E-11, 2.26E-09, 2.03E-09, 7.88E-11, 2.08E-11, 9.23E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       4  ,000:00:02.031 ,1.00E-08 ,1.00E-08 ,3.71E-04 , 4.41E-10, 2.83E-12, 2.74E-12, 5.77E-11, 5.76E-11, 2.21E-10, 1.26E-09, 5.47E-09, 6.54E-11, 2.26E-09, 2.03E-09, 7.88E-11, 2.08E-11, 9.23E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       5  ,000:00:02.750 ,1.00E-08 ,1.00E-08 ,3.66E-04 , 4.34E-10, 2.83E-12, 2.74E-12, 5.77E-11, 5.76E-11, 2.21E-10, 1.26E-09, 5.47E-09, 6.54E-11, 2.23E-09, 1.95E-09, 7.29E-11, 2.35E-11, 8.84E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       6  ,000:00:03.453 ,1.00E-08 ,1.00E-08 ,3.66E-04 , 4.34E-10, 2.68E-12, 2.08E-12, 5.56E-11, 5.51E-11, 2.22E-10, 1.25E-09, 5.34E-09, 6.53E-11, 2.23E-09, 1.95E-09, 7.29E-11, 2.35E-11, 8.84E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       7  ,000:00:04.156 ,1.00E-08 ,1.00E-08 ,3.61E-04 , 4.30E-10, 2.68E-12, 2.08E-12, 5.56E-11, 5.51E-11, 2.22E-10, 1.25E-09, 5.34E-09, 6.53E-11, 2.14E-09, 1.88E-09, 7.57E-11, 2.06E-11, 8.64E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       8  ,000:00:04.843 ,1.00E-08 ,1.00E-08 ,3.61E-04 , 4.30E-10, 3.36E-12, 2.52E-12, 5.65E-11, 5.36E-11, 2.14E-10, 1.22E-09, 5.30E-09, 6.21E-11, 2.14E-09, 1.88E-09, 7.57E-11, 2.06E-11, 8.64E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       9  ,000:00:05.562 ,1.00E-08 ,1.00E-08 ,3.57E-04 , 4.19E-10, 3.36E-12, 2.52E-12, 5.65E-11, 5.36E-11, 2.14E-10, 1.22E-09, 5.30E-09, 6.21E-11, 2.11E-09, 1.86E-09, 7.11E-11, 2.11E-11, 8.40E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      10  ,000:00:06.312 ,1.00E-08 ,1.00E-08 ,3.57E-04 , 4.19E-10, 2.63E-12, 2.03E-12, 5.09E-11, 5.28E-11, 2.11E-10, 1.21E-09, 5.21E-09, 6.43E-11, 2.11E-09, 1.86E-09, 7.11E-11, 2.11E-11, 8.40E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
